ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
MAIA;01;25040;LIGHT BLUE ;LUTHAI;7;101,3;145,5; $7,79 ; $789,13 
MAIA;02;25040;LIGHT BLUE ;LUTHAI;3;100,8;146,0; $7,79 ; $785,23 
MAIA;03;25040;LIGHT BLUE ;LUTHAI;4;101,8;146,0; $7,79 ; $793,02 
MAIA;04;25040;LIGHT BLUE ;LUTHAI;2;90,3;146,0; $7,79 ; $703,44 
MAIA;05;25040;LIGHT BLUE ;LUTHAI;1;38,0;146,0; $7,79 ; $296,02 
MAIA;06;25040;LIGHT BLUE ;LUTHAI;5;70,9;146,0; $7,79 ; $552,31 
TOTAL;6 ROLLS;;;;;503,1;;; $3.919,15 
