ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
MAIA;01;25041;BLUE NAVY ;LUTHAI;4;101,8;147,5; $7,79 ; $793,02 
MAIA;02;25041;BLUE NAVY ;LUTHAI;5;101,8;147,0; $7,79 ; $793,02 
MAIA;03;25041;BLUE NAVY ;LUTHAI;2;99,5;147,2; $7,79 ; $775,11 
MAIA;04;25041;BLUE NAVY ;LUTHAI;6;85,1;147,0; $7,79 ; $662,93 
MAIA;05;25041;BLUE NAVY ;LUTHAI;7;28,1;147,0; $7,79 ; $218,90 
MAIA;06;25041;BLUE NAVY ;LUTHAI;1;32,5;147,0; $7,79 ; $253,18 
MAIA;07;25041;BLUE NAVY ;LUTHAI;16;55,6;147,0; $7,79 ; $433,12 
TOTAL;7 ROLLS;;;;;504,4;;; $3.929,28 
