ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
ERCOLE;01;24996;BLUE ;LUTHAI;1;44,5;145,9; $3,90 ; $173,55 
ERCOLE;02;24996;BLUE ;LUTHAI;2;99,5;146; $3,90 ; $388,05 
ERCOLE;03;24996;BLUE ;LUTHAI;3;90,4;145,9; $3,90 ; $352,56 
ERCOLE;04;24996;BLUE ;LUTHAI;4;48,6;146; $3,90 ; $189,54 
ERCOLE;05;24996;BLUE ;LUTHAI;5;52,4;146; $3,90 ; $204,36 
ERCOLE;06;24996;BLUE ;LUTHAI;6;85,3;145,8; $3,90 ; $332,67 
ERCOLE;07;24996;BLUE ;LUTHAI;7;99,2;146; $3,90 ; $386,88 
TOTAL;7 ROLL;;;;;519,9;;; $2.027,61 
