ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
ERCOLE;01;24995;LIGHT BLUE ;LUTHAI;1;90,7;147; $3,90 ; $353,73 
ERCOLE;02;24995;LIGHT BLUE ;LUTHAI;3;99,1;146,9; $3,90 ; $386,49 
ERCOLE;03;24995;LIGHT BLUE ;LUTHAI;4;94,6;147; $3,90 ; $368,94 
ERCOLE;04;24995;LIGHT BLUE ;LUTHAI;5;77,6;146,8; $3,90 ; $302,64 
ERCOLE;05;24995;LIGHT BLUE ;LUTHAI;6;56,2;147; $3,90 ; $219,18 
ERCOLE;06;24995;LIGHT BLUE ;LUTHAI;101;96,1;146,9; $3,90 ; $374,79 
TOTAL;6ROLL;;;;;514,3;;; $2.005,77 
