ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
COLOMBA ;01;25014;BLUE ;LUTHAI;1;90,3;146; $4,35 ; $392,81 
COLOMBA ;02;25014;BLUE ;LUTHAI;2;49;145,7; $4,35 ; $213,15 
COLOMBA ;03;25014;BLUE ;LUTHAI;3;90,4;146,1; $4,35 ; $393,24 
COLOMBA ;04;25014;BLUE ;LUTHAI;4;89;146,3; $4,35 ; $387,15 
COLOMBA ;05;25014;BLUE ;LUTHAI;5;78,6;145,8; $4,35 ; $341,91 
COLOMBA ;06;25014;BLUE ;LUTHAI;6;75,2;146,3; $4,35 ; $327,12 
COLOMBA ;07;25014;BLUE ;LUTHAI;7;40,7;146,5; $4,35 ; $177,05 
TOTAL ;7 ROLLS;;;;;513,2;;; $2.232,42 
