ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
CENTAUR;01;24992;BLUE ;LUTHAI;1;86,9;146,9; $3,45 ; $299,81 
CENTAUR;02;24992;BLUE ;LUTHAI;2;90,8;147; $3,45 ; $313,26 
CENTAUR;03;24992;BLUE ;LUTHAI;3;73,0;146,8; $3,45 ; $251,85 
CENTAUR;04;24992;BLUE ;LUTHAI;4;90,1;147; $3,45 ; $310,85 
CENTAUR;05;24992;BLUE ;LUTHAI;5;86,3;147; $3,45 ; $297,74 
CENTAUR;06;24992;BLUE ;LUTHAI;6;91,2;146,9; $3,45 ; $314,64 
CENTAUR;07;24992;BLUE ;LUTHAI;7;70,0;147; $3,45 ; $241,50 
CENTAUR;08;24992;BLUE ;LUTHAI;8;70,0;146,9; $3,45 ; $241,50 
CENTAUR;09;24992;BLUE ;LUTHAI;9;87,1;147; $3,45 ; $300,50 
CENTAUR;10;24992;BLUE ;LUTHAI;10;81,4;147; $3,45 ; $280,83 
CENTAUR;11;24992;BLUE ;LUTHAI;11;63,8;146,9; $3,45 ; $220,11 
CENTAUR;12;24992;BLUE ;LUTHAI;12;83,1;147; $3,45 ; $286,70 
CENTAUR;13;24992;BLUE ;LUTHAI;13;44,9;146,9; $3,45 ; $154,91 
TOTAL;13 ROLL;;;;;1018,6;;; $3.514,17 
