ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
SATURNO;01;25023;LIGHT BLUE ;LUTHAI;1;61;145,8; $2,42 ; $147,62 
SATURNO;02;25023;LIGHT BLUE ;LUTHAI;2;39,8;145,9; $2,42 ; $96,32 
SATURNO;03;25023;LIGHT BLUE ;LUTHAI;3;99,3;145,9; $2,42 ; $240,31 
SATURNO;04;25023;LIGHT BLUE ;LUTHAI;4;99,2;145,8; $2,42 ; $240,06 
SATURNO;05;25023;LIGHT BLUE ;LUTHAI;5;99,1;146; $2,42 ; $239,82 
SATURNO;06;25023;LIGHT BLUE ;LUTHAI;6;91,8;146; $2,42 ; $222,16 
SATURNO;07;25023;LIGHT BLUE ;LUTHAI;7;100,3;146; $2,42 ; $242,73 
SATURNO;08;25023;LIGHT BLUE ;LUTHAI;8;100,4;145,8; $2,42 ; $242,97 
SATURNO;09;25023;LIGHT BLUE ;LUTHAI;9;99,9;146; $2,42 ; $241,76 
SATURNO;10;25023;LIGHT BLUE ;LUTHAI;10;93,8;145,9; $2,42 ; $227,00 
SATURNO;11;25023;LIGHT BLUE ;LUTHAI;11;89,6;146; $2,42 ; $216,83 
SATURNO;12;25023;LIGHT BLUE ;LUTHAI;12;40,3;145,5; $2,42 ; $97,53 
TOTAL;13 rolls;;;;;1014,5;;; $2.455,09 
