ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
NETTUNO ;01;25038;BLUE;LUTHAI;1;98,6;146; $2,82 ; $278,05 
NETTUNO ;02;25038;BLUE;LUTHAI;2;100,0;145,5; $2,82 ; $282,00 
NETTUNO ;03;25038;BLUE;LUTHAI;3;100,7;145,5; $2,82 ; $283,97 
NETTUNO ;04;25038;BLUE;LUTHAI;4;71,0;146; $2,82 ; $200,22 
NETTUNO ;05;25038;BLUE;LUTHAI;5;70,5;146; $2,82 ; $198,81 
NETTUNO ;06;25038;BLUE;LUTHAI;6;61,9;145,3; $2,82 ; $174,56 
TOTAL;6 ROLLS;;;;;502,7;;; $1.417,61 
