ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
PERSEFO;01;25030;PINK ;LUTHAI;6;69,9;144,5; $2,87 ; $200,61 
PERSEFO;02;25030;PINK ;LUTHAI;7;83,3;144,4; $2,87 ; $239,07 
PERSEFO;03;25030;PINK ;LUTHAI;2;38,2;144,5; $2,87 ; $109,63 
PERSEFO;04;25030;PINK ;LUTHAI;3;79,6;144,4; $2,87 ; $228,45 
PERSEFO;05;25030;PINK ;LUTHAI;1;64,9;144,8; $2,87 ; $186,26 
PERSEFO;06;25030;PINK ;LUTHAI;4;80;144,8; $2,87 ; $229,60 
PERSEFO;07;25030;PINK ;LUTHAI;5;75,6;144,8; $2,87 ; $216,97 
TOTAL ;7 ROLLS;;;;;491,5;;; $1.410,61 
