ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
URANO ;01;25021;BLUE ;LUTHAI;10;97,9;146; $2,42 ; $236,92 
URANO ;02;25021;BLUE ;LUTHAI;2;81,4;145,5; $2,42 ; $196,99 
URANO ;03;25021;BLUE ;LUTHAI;11;84,3;145,5; $2,42 ; $204,01 
URANO ;04;25021;BLUE ;LUTHAI;6;99,7;145,4; $2,42 ; $241,27 
URANO ;05;25021;BLUE ;LUTHAI;7;89,0;145,5; $2,42 ; $215,38 
URANO ;06;25021;BLUE ;LUTHAI;8;81,4;145,9; $2,42 ; $196,99 
URANO ;07;25021;BLUE ;LUTHAI;4;97,9;145,5; $2,42 ; $236,92 
URANO ;08;25021;BLUE ;LUTHAI;5;100,3;145,4; $2,42 ; $242,73 
URANO ;09;25021;BLUE ;LUTHAI;9;99,8;146; $2,42 ; $241,52 
URANO ;10;25021;BLUE ;LUTHAI;1;99;146; $2,42 ; $239,58 
URANO ;11;25021;BLUE ;LUTHAI;3;40,9;145,9; $2,42 ; $98,98 
URANO ;12;25021;BLUE ;LUTHAI;12;70,6;146; $2,42 ; $170,85 
TOTAL;12 ROLLS;;;;;1042,2;;; $2.522,12 
