ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
IDRA;01;25008;LIGHT BLUE ;LUTHAI;1;27,1;144,3; $4,10 ; $111,11 
IDRA;02;25008;LIGHT BLUE ;LUTHAI;2;67,5;144,6; $4,10 ; $276,75 
IDRA;03;25008;LIGHT BLUE ;LUTHAI;3;68,2;144,8; $4,10 ; $279,62 
IDRA;04;25008;LIGHT BLUE ;LUTHAI;4;51;144,3; $4,10 ; $209,10 
IDRA;05;25008;LIGHT BLUE ;LUTHAI;5;100,1;144,4; $4,10 ; $410,41 
IDRA;06;25008;LIGHT BLUE ;LUTHAI;6;100,1;144,3; $4,10 ; $410,41 
IDRA;07;25008;LIGHT BLUE ;LUTHAI;7;96,1;144,5; $4,10 ; $394,01 
TOTAL;7 ROLLS;;;;;510,1;;; $2.091,41 
