ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
CASSIOP;01;24997;LIGHT BLUE ;LUTHAI;1;86,6;146,4; $3,45 ; $298,77 
CASSIOP;02;24997;LIGHT BLUE ;LUTHAI;2;56,1;146,4; $3,45 ; $193,55 
CASSIOP;03;24997;LIGHT BLUE ;LUTHAI;3;97,5;146,3; $3,45 ; $336,38 
CASSIOP;04;24997;LIGHT BLUE ;LUTHAI;4;95,7;146,4; $3,45 ; $330,17 
CASSIOP;05;24997;LIGHT BLUE ;LUTHAI;5;100;146,5; $3,45 ; $345,00 
CASSIOP;06;24997;LIGHT BLUE ;LUTHAI;6;97,3;146,5; $3,45 ; $335,69 
CASSIOP;07;24997;LIGHT BLUE ;LUTHAI;7;99,4;146,4; $3,45 ; $342,93 
CASSIOP;08;24997;LIGHT BLUE ;LUTHAI;8;99,7;146,5; $3,45 ; $343,97 
CASSIOP;09;24997;LIGHT BLUE ;LUTHAI;9;99;146,3; $3,45 ; $341,55 
CASSIOP;10;24997;LIGHT BLUE ;LUTHAI;10;88,7;146,5; $3,45 ; $306,02 
CASSIOP;11;24997;LIGHT BLUE ;LUTHAI;11;81,6;146,4; $3,45 ; $281,52 
CASSIOP;12;24997;LIGHT BLUE ;LUTHAI;12;33,4;146,5; $3,45 ; $115,23 
TOTAL;12 ROLL ;;;;;1035,0;;; $3.570,75 
