ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
PEGASO;01;25002;BLUE ;LUTHAI;1;89,7;146,8; $3,70 ; $331,89 
PEGASO;02;25002;BLUE ;LUTHAI;2;88,1;147; $3,70 ; $325,97 
PEGASO;03;25002;BLUE ;LUTHAI;3;90,0;147; $3,70 ; $333,00 
PEGASO;04;25002;BLUE ;LUTHAI;4;60,1;146,8; $3,70 ; $222,37 
PEGASO;05;25002;BLUE ;LUTHAI;5;58,9;147; $3,70 ; $217,93 
PEGASO;06;25002;BLUE ;LUTHAI;6;59,7;146,8; $3,70 ; $220,89 
PEGASO;07;25002;BLUE ;LUTHAI;7;63,8;147; $3,70 ; $236,06 
TOTAL;7 ROLL;;;;;510,3;;; $1.888,11 
