ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
CENTAUR;01;24991;AZURE;LUTHAI;1;90,5;145,8; $3,45 ; $312,23 
CENTAUR;02;24991;AZURE;LUTHAI;2;89,5;146; $3,45 ; $308,78 
CENTAUR;03;24991;AZURE;LUTHAI;3;28,1;145,9; $3,45 ; $96,95 
CENTAUR;04;24991;AZURE;LUTHAI;4;90,2;146,3; $3,45 ; $311,19 
CENTAUR;05;24991;AZURE;LUTHAI;5;90,1;146; $3,45 ; $310,85 
CENTAUR;06;24991;AZURE;LUTHAI;6;50,0;145,8; $3,45 ; $172,50 
CENTAUR;07;24991;AZURE;LUTHAI;7;44,0;146; $3,45 ; $151,80 
CENTAUR;08;24991;AZURE;LUTHAI;8;80,2;145,9; $3,45 ; $276,69 
CENTAUR;09;24991;AZURE;LUTHAI;9;50,5;146; $3,45 ; $174,23 
CENTAUR;10;24991;AZURE;LUTHAI;10;77,2;145,9; $3,45 ; $266,34 
CENTAUR;11;24991;AZURE;LUTHAI;11;99,5;146; $3,45 ; $343,28 
CENTAUR;12;24991;AZURE;LUTHAI;12;99,9;145,8; $3,45 ; $344,66 
CENTAUR;13;24991;AZURE;LUTHAI;13;99,8;146; $3,45 ; $344,31 
CENTAUR;14;24991;AZURE;LUTHAI;14;89,0;145,8; $3,45 ; $307,05 
CENTAUR;15;24991;AZURE;LUTHAI;15;99,4;146; $3,45 ; $342,93 
CENTAUR;16;24991;AZURE;LUTHAI;16;99,3;145,9; $3,45 ; $342,59 
CENTAUR;17;24991;AZURE;LUTHAI;17;99,0;146,5; $3,45 ; $341,55 
CENTAUR;18;24991;AZURE;LUTHAI;18;92,0;146; $3,45 ; $317,40 
CENTAUR;19;24991;AZURE;LUTHAI;19;48,2;145,9; $3,45 ; $166,29 
TOTAL;19 ROLL;;;;;1516,4;;; $5.231,58 
