ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
POLARIS;01;25000;LIGHT BLUE ;LUTHAI;1;98,9;147,5; $3,70 ; $365,93 
POLARIS;02;25000;LIGHT BLUE ;LUTHAI;2;89,7;147,8; $3,70 ; $331,89 
POLARIS;03;25000;LIGHT BLUE ;LUTHAI;3;89,7;147,5; $3,70 ; $331,89 
POLARIS;04;25000;LIGHT BLUE ;LUTHAI;4;70,9;147,5; $3,70 ; $262,33 
POLARIS;05;25000;LIGHT BLUE ;LUTHAI;5;69,8;147,9; $3,70 ; $258,26 
POLARIS;06;25000;LIGHT BLUE ;LUTHAI;6;69,3;147,8; $3,70 ; $256,41 
TOTAL;6ROLL;;;;;488,3;;; $1.806,71 
