ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
LIRA;01;24982;WHITE;LUTHAI;15;94,8;145,8; $3,30 ; $312,84 
LIRA;02;24982;WHITE;LUTHAI;8;100;145,5; $3,30 ; $330,00 
LIRA;03;24982;WHITE;LUTHAI;3;91,9;145,9; $3,30 ; $303,27 
LIRA;04;24982;WHITE;LUTHAI;6;100;146; $3,30 ; $330,00 
LIRA;05;24982;WHITE;LUTHAI;7;95,4;145,8; $3,30 ; $314,82 
LIRA;06;24982;WHITE;LUTHAI;2;94,5;146; $3,30 ; $311,85 
LIRA;07;24982;WHITE;LUTHAI;111;70,5;146; $3,30 ; $232,65 
LIRA;08;24982;WHITE;LUTHAI;4;79,5;145,5; $3,30 ; $262,35 
LIRA;09;24982;WHITE;LUTHAI;5;100,4;145,8; $3,30 ; $331,32 
LIRA;10;24982;WHITE;LUTHAI;10;99,0;145,5; $3,30 ; $326,70 
LIRA;11;24982;WHITE;LUTHAI;13;99,1;145,5; $3,30 ; $327,03 
LIRA;12;24982;WHITE;LUTHAI;9;100,5;145,3; $3,30 ; $331,65 
LIRA;13;24982;WHITE;LUTHAI;14;97,0;145,5; $3,30 ; $320,10 
LIRA;14;24982;WHITE;LUTHAI;11;98,3;145,5; $3,30 ; $324,39 
LIRA;15;24982;WHITE;LUTHAI;12;99,0;144,9; $3,30 ; $326,70 
LIRA;16;24982;WHITE;LUTHAI;1;70;144,8; $3,30 ; $231,00 
LIRA;17;24982;WHITE;LUTHAI;16;50;145; $3,30 ; $165,00 
TOTAL;17 ROLL;;;;;1539,9;;; $5.081,67 
