ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
PLUTONE;01;25154;LIGHT BLUE ;LUTHAI;8;93,0;144,6; $2,27 ; $211,11 
PLUTONE;02;25154;LIGHT BLUE ;LUTHAI;2;67,8;144,7; $2,27 ; $153,91 
PLUTONE;03;25154;LIGHT BLUE ;LUTHAI;7;47,5;144,6; $2,27 ; $107,83 
PLUTONE;04;25154;LIGHT BLUE ;LUTHAI;12;98,0;144,5; $2,27 ; $222,46 
PLUTONE;05;25154;LIGHT BLUE ;LUTHAI;4;97,5;144,6; $2,27 ; $221,33 
PLUTONE;06;25154;LIGHT BLUE ;LUTHAI;5;90,0;144,4; $2,27 ; $204,30 
PLUTONE;07;25154;LIGHT BLUE ;LUTHAI;3;72,0;145; $2,27 ; $163,44 
PLUTONE;08;25154;LIGHT BLUE ;LUTHAI;6;79,9;144,5; $2,27 ; $181,37 
PLUTONE;09;25154;LIGHT BLUE ;LUTHAI;10;79,9;144,4; $2,27 ; $181,37 
PLUTONE;10;25154;LIGHT BLUE ;LUTHAI;9;65,3;144; $2,27 ; $148,23 
PLUTONE;11;25154;LIGHT BLUE ;LUTHAI;13;59,4;144,4; $2,27 ; $134,84 
PLUTONE;12;25154;LIGHT BLUE ;LUTHAI;11;59,5;144,5; $2,27 ; $135,07 
PLUTONE;13;25154;LIGHT BLUE ;LUTHAI;110;30,3;144,3; $2,27 ; $68,78 
TOTAL ;13 ROLLS;;;;;940,1;;; $2.134,03 
