ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
PLUTONE;01;25153;WHITE ;LUTHAI;11;84,0;146; $2,27 ; $190,68 
PLUTONE;02;25153;WHITE ;LUTHAI;15;72,5;146,3; $2,27 ; $164,58 
PLUTONE;03;25153;WHITE ;LUTHAI;4;100,5;146,3; $2,27 ; $228,14 
PLUTONE;04;25153;WHITE ;LUTHAI;10;100,7;146,2; $2,27 ; $228,59 
PLUTONE;05;25153;WHITE ;LUTHAI;9;100,4;146,2; $2,27 ; $227,91 
PLUTONE;06;25153;WHITE ;LUTHAI;14;100,4;146,4; $2,27 ; $227,91 
PLUTONE;07;25153;WHITE ;LUTHAI;5;100,2;146,2; $2,27 ; $227,45 
PLUTONE;08;25153;WHITE ;LUTHAI;6;100;146,1; $2,27 ; $227,00 
PLUTONE;09;25153;WHITE ;LUTHAI;71;25,2;146,2; $2,27 ; $57,20 
PLUTONE;10;25153;WHITE ;LUTHAI;1;100,3;146,2; $2,27 ; $227,68 
PLUTONE;11;25153;WHITE ;LUTHAI;13;100,4;146,3; $2,27 ; $227,91 
PLUTONE;12;25153;WHITE ;LUTHAI;8;100,3;146,2; $2,27 ; $227,68 
PLUTONE;13;25153;WHITE ;LUTHAI;12;100,4;146,4; $2,27 ; $227,91 
PLUTONE;14;25153;WHITE ;LUTHAI;16;80,3;146; $2,27 ; $182,28 
PLUTONE;15;25153;WHITE ;LUTHAI;2;99,5;146,3; $2,27 ; $225,87 
PLUTONE;16;25153;WHITE ;LUTHAI;3;52,3;146,3; $2,27 ; $118,72 
PLUTONE;17;25153;WHITE ;LUTHAI;17;44,0;146,2; $2,27 ; $99,88 
PLUTONE;18;25153;WHITE ;LUTHAI;7;33,8;146,2; $2,27 ; $76,73 
TOTAL ;18 ROLLS;;;;;1495,2;;; $3.394,10 
