ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
ANDROME;01;24979;PINK;LUTHAI;2;89,9;146,3; $3,70 ; $332,63 
ANDROME;02;24979;PINK;LUTHAI;3;45,4;146,3; $3,70 ; $167,98 
ANDROME;03;24979;PINK;LUTHAI;4;90,6;146,3; $3,70 ; $335,22 
ANDROME;04;24979;PINK;LUTHAI;5;63,9;146,3; $3,70 ; $236,43 
ANDROME;05;24979;PINK;LUTHAI;8;52,4;146,3; $3,70 ; $193,88 
ANDROME;06;24979;PINK;LUTHAI;9;52,0;146,3; $3,70 ; $192,40 
ANDROME;07;24979;PINK;LUTHAI;10;90,2;146,3; $3,70 ; $333,74 
ANDROME;08;24979;PINK;LUTHAI;11;35,6;146,8; $3,70 ; $131,72 
TOTAL ;8 ROLLS;;;;;520,0;;; $1.924,00 
