ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
ANDROME;01;24980;BLUE NAVY ;LUTHAI;2;90,4;146; $3,25 ; $293,80 
ANDROME;02;24980;BLUE NAVY ;LUTHAI;3;39,6;146; $3,25 ; $128,70 
ANDROME;03;24980;BLUE NAVY ;LUTHAI;4;79,8;146; $3,25 ; $259,35 
ANDROME;04;24980;BLUE NAVY ;LUTHAI;5;45,2;146; $3,25 ; $146,90 
ANDROME;05;24980;BLUE NAVY ;LUTHAI;6;94,4;146; $3,25 ; $306,80 
ANDROME;06;24980;BLUE NAVY ;LUTHAI;7;90,5;146; $3,25 ; $294,13 
ANDROME;07;24980;BLUE NAVY ;LUTHAI;8;98,7;146,3; $3,25 ; $320,78 
ANDROME;08;24980;BLUE NAVY ;LUTHAI;9;98,7;146; $3,25 ; $320,78 
ANDROME;09;24980;BLUE NAVY ;LUTHAI;10;98,4;146,3; $3,25 ; $319,80 
ANDROME;10;24980;BLUE NAVY ;LUTHAI;11;53,1;146,3; $3,25 ; $172,58 
ANDROME;11;24980;BLUE NAVY ;LUTHAI;12;100,5;146; $3,25 ; $326,63 
ANDROME;12;24980;BLUE NAVY ;LUTHAI;110;32,5;146,3; $3,25 ; $105,63 
TOTAL;12 ROLLS;;;;;921,8;;; $2.995,85 
