ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
THEMIS;01;25034;LIGHT BLUE ;LUTHAI;1;100,1;144,3; $2,96 ; $296,30 
THEMIS;02;25034;LIGHT BLUE ;LUTHAI;2;100,1;144; $2,96 ; $296,30 
THEMIS;03;25034;LIGHT BLUE ;LUTHAI;3;90,2;144; $2,96 ; $266,99 
THEMIS;04;25034;LIGHT BLUE ;LUTHAI;4;88,6;144,3; $2,96 ; $262,26 
THEMIS;05;25034;LIGHT BLUE ;LUTHAI;5;90,3;144,4; $2,96 ; $267,29 
THEMIS;06;25034;LIGHT BLUE ;LUTHAI;6;41,9;144,5; $2,96 ; $124,02 
TOTAL ;6 ROLLS;;;;;511,2;;; $1.513,15 
