ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
DORADO ;01;25013;LIGHT BLUE ;LUTHAI;1;98,6;144,5; $3,80 ; $374,68 
DORADO ;02;25013;LIGHT BLUE ;LUTHAI;2;97,7;145,5; $3,80 ; $371,26 
DORADO ;03;25013;LIGHT BLUE ;LUTHAI;3;98,7;145,5; $3,80 ; $375,06 
DORADO ;04;25013;LIGHT BLUE ;LUTHAI;4;50,0;145,8; $3,80 ; $190,00 
DORADO ;05;25013;LIGHT BLUE ;LUTHAI;5;69,9;145,6; $3,80 ; $265,62 
DORADO ;06;25013;LIGHT BLUE ;LUTHAI;6;57,4;145,3; $3,80 ; $218,12 
DORADO ;07;25013;LIGHT BLUE ;LUTHAI;44;46,1;145,5; $3,80 ; $175,18 
TOTAL;7 ROLLS;;;;;518,4;;; $1.969,92 
