ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
CENTAUR;01;24990;LIGHT BLUE ;LUTHAI;1;80,5;144,5; $3,45 ; $277,73 
CENTAUR;02;24990;LIGHT BLUE ;LUTHAI;2;55,3;144,8; $3,45 ; $190,79 
CENTAUR;03;24990;LIGHT BLUE ;LUTHAI;3;100,7;144,9; $3,45 ; $347,42 
CENTAUR;04;24990;LIGHT BLUE ;LUTHAI;5;100,5;144,5; $3,45 ; $346,73 
CENTAUR;05;24990;LIGHT BLUE ;LUTHAI;6;90,7;144,5; $3,45 ; $312,92 
CENTAUR;06;24990;LIGHT BLUE ;LUTHAI;7;51,4;144,8; $3,45 ; $177,33 
CENTAUR;07;24990;LIGHT BLUE ;LUTHAI;8;100,3;144,9; $3,45 ; $346,04 
CENTAUR;08;24990;LIGHT BLUE ;LUTHAI;9;100,4;144,8; $3,45 ; $346,38 
CENTAUR;09;24990;LIGHT BLUE ;LUTHAI;10;100,6;144,4; $3,45 ; $347,07 
CENTAUR;10;24990;LIGHT BLUE ;LUTHAI;11;93,8;143,8; $3,45 ; $323,61 
CENTAUR;11;24990;LIGHT BLUE ;LUTHAI;12;101,5;144,5; $3,45 ; $350,18 
TOTAL;11 ROLL;;;;;975,7;;; $3.366,17 
