ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
MARTE ;01;25019;WHITE;LUTHAI;1;90,0;145,8; $2,35 ; $211,50 
MARTE ;02;25019;WHITE;LUTHAI;2;58,6;146; $2,35 ; $137,71 
MARTE ;03;25019;WHITE;LUTHAI;3;100,0;145,3; $2,35 ; $235,00 
MARTE ;04;25019;WHITE;LUTHAI;4;100,2;144,5; $2,35 ; $235,47 
MARTE ;05;25019;WHITE;LUTHAI;5;99,1;143,8; $2,35 ; $232,89 
MARTE ;06;25019;WHITE;LUTHAI;6;95,1;145,3; $2,35 ; $223,49 
MARTE ;07;25019;WHITE;LUTHAI;7;100,0;145; $2,35 ; $235,00 
MARTE ;08;25019;WHITE;LUTHAI;8;100,1;144,5; $2,35 ; $235,24 
MARTE ;09;25019;WHITE;LUTHAI;9;100,2;144,3; $2,35 ; $235,47 
MARTE ;10;25019;WHITE;LUTHAI;10;93,3;145; $2,35 ; $219,26 
MARTE ;11;25019;WHITE;LUTHAI;11;92,5;144,8; $2,35 ; $217,38 
MARTE ;12;25019;WHITE;LUTHAI;12;98,5;145; $2,35 ; $231,48 
MARTE ;13;25019;WHITE;LUTHAI;13;100,3;144,5; $2,35 ; $235,71 
MARTE ;14;25019;WHITE;LUTHAI;14;101,7;144,3; $2,35 ; $239,00 
MARTE ;15;25019;WHITE;LUTHAI;15;95,6;144,5; $2,35 ; $224,66 
MARTE ;16;25019;WHITE;LUTHAI;16;92,1;144; $2,35 ; $216,44 
TOTAL;16 ROLLS;;;;;1517,3;;; $3.565,66 
