ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
CERERE;01;25031;LIGHT BLUE ;LUTHAI;1;90,5;145,8; $2,87 ; $259,74 
CERERE;02;25031;LIGHT BLUE ;LUTHAI;2;90,8;146; $2,87 ; $260,60 
CERERE;03;25031;LIGHT BLUE ;LUTHAI;3;100,8;146; $2,87 ; $289,30 
CERERE;04;25031;LIGHT BLUE ;LUTHAI;4;87,8;145,8; $2,87 ; $251,99 
CERERE;05;25031;LIGHT BLUE ;LUTHAI;5;90,4;146; $2,87 ; $259,45 
CERERE;06;25031;LIGHT BLUE ;LUTHAI;6;56,0;146; $2,87 ; $160,72 
TOTAL;6 ROLLS;;;;;516,3;;; $1.481,78 
