ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
ANTARES;01;25016;AZURE ;LUTHAI;1;24,6;146; $2,37 ; $58,30 
ANTARES;02;25016;AZURE ;LUTHAI;2;99,2;145,8; $2,37 ; $235,10 
ANTARES;03;25016;AZURE ;LUTHAI;3;100,2;146; $2,37 ; $237,47 
ANTARES;04;25016;AZURE ;LUTHAI;4;100,2;145,9; $2,37 ; $237,47 
ANTARES;05;25016;AZURE ;LUTHAI;5;101,2;145,5; $2,37 ; $239,84 
ANTARES;06;25016;AZURE ;LUTHAI;6;98,7;146; $2,37 ; $233,92 
ANTARES;07;25016;AZURE ;LUTHAI;7;24,1;145,3; $2,37 ; $57,12 
ANTARES;08;25016;AZURE ;LUTHAI;8;100,2;146; $2,37 ; $237,47 
ANTARES;09;25016;AZURE ;LUTHAI;9;94,4;145,3; $2,37 ; $223,73 
ANTARES;10;25016;AZURE ;LUTHAI;10;97,4;145,5; $2,37 ; $230,84 
ANTARES;11;25016;AZURE ;LUTHAI;11;94,5;144,8; $2,37 ; $223,97 
ANTARES;12;25016;AZURE ;LUTHAI;111;73,6;145,8; $2,37 ; $174,43 
TOTAL;12 ROLLS;;;;;1008,3;;; $2.389,67 
