ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
SATURNO;01;25024;BLUE ;LUTHAI;1;99;144,3; $2,42 ; $239,58 
SATURNO;02;25024;BLUE ;LUTHAI;2;66,6;145,4; $2,42 ; $161,17 
SATURNO;03;25024;BLUE ;LUTHAI;3;100;145,5; $2,42 ; $242,00 
SATURNO;04;25024;BLUE ;LUTHAI;4;99,3;145,2; $2,42 ; $240,31 
SATURNO;05;25024;BLUE ;LUTHAI;5;99,4;144,4; $2,42 ; $240,55 
SATURNO;06;25024;BLUE ;LUTHAI;6;91,8;145,3; $2,42 ; $222,16 
SATURNO;07;25024;BLUE ;LUTHAI;7;98,3;145; $2,42 ; $237,89 
SATURNO;08;25024;BLUE ;LUTHAI;8;99,4;144,8; $2,42 ; $240,55 
SATURNO;09;25024;BLUE ;LUTHAI;9;99,5;145,3; $2,42 ; $240,79 
SATURNO;10;25024;BLUE ;LUTHAI;10;100;145,4; $2,42 ; $242,00 
SATURNO;11;25024;BLUE ;LUTHAI;11;77,4;145; $2,42 ; $187,31 
TOTAL;11 rolls ;;;;;1030,7;;; $2.494,29 
