ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
ORIONE;01;24986;WHITE;LUTHAI;18;87,0;144; $3,30 ; $287,10 
ORIONE;02;24986;WHITE;LUTHAI;16;81,3;144,3; $3,30 ; $268,29 
ORIONE;03;24986;WHITE;LUTHAI;11;67,7;145,4; $3,30 ; $223,41 
ORIONE;04;24986;WHITE;LUTHAI;8;48,1;145,3; $3,30 ; $158,73 
ORIONE;05;24986;WHITE;LUTHAI;80;36;145; $3,30 ; $118,80 
ORIONE;06;24986;WHITE;LUTHAI;4;87,4;145,2; $3,30 ; $288,42 
ORIONE;07;24986;WHITE;LUTHAI;2;99,9;144,8; $3,30 ; $329,67 
ORIONE;08;24986;WHITE;LUTHAI;13;87,6;145,3; $3,30 ; $289,08 
ORIONE;09;24986;WHITE;LUTHAI;1;96,0;144,8; $3,30 ; $316,80 
ORIONE;10;24986;WHITE;LUTHAI;3;90,6;145,5; $3,30 ; $298,98 
ORIONE;11;24986;WHITE;LUTHAI;6;81;145,3; $3,30 ; $267,30 
ORIONE;12;24986;WHITE;LUTHAI;12;100,5;144,9; $3,30 ; $331,65 
ORIONE;13;24986;WHITE;LUTHAI;15;77,9;145,5; $3,30 ; $257,07 
ORIONE;14;24986;WHITE;LUTHAI;10;100,4;145,3; $3,30 ; $331,32 
ORIONE;15;24986;WHITE;LUTHAI;7;77;145; $3,30 ; $254,10 
ORIONE;16;24986;WHITE;LUTHAI;5;69,0;145,4; $3,30 ; $227,70 
ORIONE;17;24986;WHITE;LUTHAI;9;72,3;145; $3,30 ; $238,59 
ORIONE;18;24986;WHITE;LUTHAI;17;41,2;144,5; $3,30 ; $135,96 
ORIONE;19;24986;WHITE;LUTHAI;14;38,2;145,3; $3,30 ; $126,06 
ORIONE;20;24986;WHITE;LUTHAI;140;29,8;145,2; $3,30 ; $98,34 
ORIONE;21;24986;WHITE;LUTHAI;110;30,5;144,8; $3,30 ; $100,65 
TOTAL;21;;;;;1499,4;;; $4.948,02 
