ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
PERSEFO;01;25028;LIGHT BLUE ;LUTHAI;10;99,8;145,8; $2,42 ; $241,52 
PERSEFO;02;25028;LIGHT BLUE ;LUTHAI;4;90,8;146; $2,42 ; $219,74 
PERSEFO;03;25028;LIGHT BLUE ;LUTHAI;11;100,2;146; $2,42 ; $242,48 
PERSEFO;04;25028;LIGHT BLUE ;LUTHAI;8;89,9;145,7; $2,42 ; $217,56 
PERSEFO;05;25028;LIGHT BLUE ;LUTHAI;2;47,3;146; $2,42 ; $114,47 
PERSEFO;06;25028;LIGHT BLUE ;LUTHAI;9;51,7;146; $2,42 ; $125,11 
PERSEFO;07;25028;LIGHT BLUE ;LUTHAI;12;90,5;146; $2,42 ; $219,01 
PERSEFO;08;25028;LIGHT BLUE ;LUTHAI;6;100;145,6; $2,42 ; $242,00 
PERSEFO;09;25028;LIGHT BLUE ;LUTHAI;7;78,5;145,7; $2,42 ; $189,97 
PERSEFO;10;25028;LIGHT BLUE ;LUTHAI;1;80,4;146; $2,42 ; $194,57 
PERSEFO;11;25028;LIGHT BLUE ;LUTHAI;5;67,6;145,8; $2,42 ; $163,59 
PERSEFO;12;25028;LIGHT BLUE ;LUTHAI;13;54,0;145,6; $2,42 ; $130,68 
PERSEFO;13;25028;LIGHT BLUE ;LUTHAI;3;89,7;146; $2,42 ; $217,07 
TOTAL;13 ROLLS;;;;;1040,4;;; $2.517,77 
