ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
ANDROME;01;24976;WHITE;LUTHAI;1;89,6;145; $3,20 ; $286,72 
ANDROME;02;24976;WHITE;LUTHAI;2;47,3;145; $3,20 ; $151,36 
ANDROME;03;24976;WHITE;LUTHAI;3;89,3;145,3; $3,20 ; $285,76 
ANDROME;04;24976;WHITE;LUTHAI;4;91,2;145; $3,20 ; $291,84 
ANDROME;05;24976;WHITE;LUTHAI;5;48,2;145,3; $3,20 ; $154,24 
ANDROME;06;24976;WHITE;LUTHAI;6;99,2;145,3; $3,20 ; $317,44 
ANDROME;07;24976;WHITE;LUTHAI;7;50;145,3; $3,20 ; $160,00 
ANDROME;08;24976;WHITE;LUTHAI;8;99,7;145,3; $3,20 ; $319,04 
ANDROME;09;24976;WHITE;LUTHAI;9;100;145; $3,20 ; $320,00 
ANDROME;10;24976;WHITE;LUTHAI;10;62,5;145,3; $3,20 ; $200,00 
ANDROME;11;24976;WHITE;LUTHAI;11;99,8;145; $3,20 ; $319,36 
ANDROME;12;24976;WHITE;LUTHAI;12;100,3;145; $3,20 ; $320,96 
ANDROME;13;24976;WHITE;LUTHAI;13;99,7;145; $3,20 ; $319,04 
ANDROME;14;24976;WHITE;LUTHAI;14;99,7;145; $3,20 ; $319,04 
ANDROME;15;24976;WHITE;LUTHAI;15;28,3;145; $3,20 ; $90,56 
ANDROME;16;24976;WHITE;LUTHAI;16;57,2;145,5; $3,20 ; $183,04 
ANDROME;17;24976;WHITE;LUTHAI;17;37,2;145,3; $3,20 ; $119,04 
ANDROME;18;24976;WHITE;LUTHAI;50;31,4;145,3; $3,20 ; $100,48 
ANDROME;19;24976;WHITE;LUTHAI;70;48,7;145,3; $3,20 ; $155,84 
ANDROME;20;24976;WHITE;LUTHAI;100;37,3;145; $3,20 ; $119,36 
ANDROME;21;24976;WHITE;LUTHAI ;150;64,3;146,3; $3,20 ; $205,76 
ANDROME;22;24976;WHITE;LUTHAI;160;27,6;145; $3,20 ; $88,32 
TOTAL;22 ROLLS;;;;;1508,5;;; $4.827,20 
