ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
URANO ;01;25020;LIGHT BLUE ;LUTHAI;1;96,0;145,5; $2,42 ; $232,32 
URANO ;02;25020;LIGHT BLUE ;LUTHAI;2;100,8;145,4; $2,42 ; $243,94 
URANO ;03;25020;LIGHT BLUE ;LUTHAI;3;101,8;145,5; $2,42 ; $246,36 
URANO ;04;25020;LIGHT BLUE ;LUTHAI;4;100,5;145,4; $2,42 ; $243,21 
URANO ;05;25020;LIGHT BLUE ;LUTHAI;5;100;146; $2,42 ; $242,00 
URANO ;06;25020;LIGHT BLUE ;LUTHAI;6;44,2;145,9; $2,42 ; $106,96 
URANO ;07;25020;LIGHT BLUE ;LUTHAI;7;100,0;146; $2,42 ; $242,00 
URANO ;08;25020;LIGHT BLUE ;LUTHAI;8;100,0;145,5; $2,42 ; $242,00 
URANO ;09;25020;LIGHT BLUE ;LUTHAI;9;100,5;146; $2,42 ; $243,21 
URANO ;10;25020;LIGHT BLUE ;LUTHAI;10;93,9;145,8; $2,42 ; $227,24 
URANO ;11;25020;LIGHT BLUE ;LUTHAI;11;100,2;146; $2,42 ; $242,48 
TOTAL;11 ROLLS;;;;;1037,9;;; $2.511,72 
