ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
PERSEFO;01;25029;BLUE ;LUTHAI;6;99,5;145,8; $2,42 ; $240,79 
PERSEFO;02;25029;BLUE ;LUTHAI;7;99,2;146; $2,42 ; $240,06 
PERSEFO;03;25029;BLUE ;LUTHAI;2;89,7;145,9; $2,42 ; $217,07 
PERSEFO;04;25029;BLUE ;LUTHAI;8;99,7;146; $2,42 ; $241,27 
PERSEFO;05;25029;BLUE ;LUTHAI;4;90,4;146; $2,42 ; $218,77 
PERSEFO;06;25029;BLUE ;LUTHAI;3;90,3;145,8; $2,42 ; $218,53 
PERSEFO;07;25029;BLUE ;LUTHAI;10;79,6;145,7; $2,42 ; $192,63 
PERSEFO;08;25029;BLUE ;LUTHAI;1;90,5;146; $2,42 ; $219,01 
PERSEFO;09;25029;BLUE ;LUTHAI;9;86,4;145,7; $2,42 ; $209,09 
PERSEFO;10;25029;BLUE ;LUTHAI;12;69,4;145,7; $2,42 ; $167,95 
PERSEFO;11;25029;BLUE ;LUTHAI;11;54,7;145,8; $2,42 ; $132,37 
PERSEFO;12;25029;BLUE ;LUTHAI;13;51,1;145,7; $2,42 ; $123,66 
PERSEFO;13;25029;BLUE ;LUTHAI;5;36,6;145,8; $2,42 ; $88,57 
TOTAL ;13 ROLLS;;;;;1037,1;;; $2.509,78 
